Source (A),,,,,Source (B),,,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
30777602,,,,,"WE had lots of good times and parties too , but we also had a gourmet chef , tutors , massage thereapist , and a library of extra liturature from teaches such as copies of the upcoming tests , etc ..",,,35,75.19,87.34,1,98.56,35,22.86,80,51.43,5.71,5.71,0,5.71,0,0,0,0,8.57,14.29,5.71,8.57,14.29,0,5.71,5.71,2.86,0,0,5.71,5.71,5.71,0,0,0,0,8.57,0,0,0,0,5.71,0,0,0,2.86,0,2.86,0,0,0,0,0,0,0,0,0,14.29,8.57,0,2.86,2.86,0,5.71,0,2.86,2.86,0,0,2.86,11.43,2.86,0,0,0,0,0,0,0,0,0,0,20,5.71,14.29,0,0,0,0,0,0,0,0,0
13422115,,,,,"Again, every time I will see filthy comment about Georgia without providing any facts , I will respond .I will respond until Armenian scum will stop",,,25,21.49,34.44,96.63,25.77,25,28,88,44,12,12,12,0,0,0,0,0,0,12,16,8,4,4,20,0,0,0,0,8,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,4,8,4,4,4,0,0,0,0,0,0,0,8,0,0,4,0,4,0,4,16,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,12,4,8,0,0,0,0,0,0,0,0,0
13849033,,,,,They will be coming to your area to live soon.E-mail our minister of intergraton and thank him for his good work.Attachment 78265,,,24,50.33,99,1,99,24,12.5,87.5,54.17,20.83,20.83,0,4.17,4.17,8.33,4.17,0,0,16.67,8.33,4.17,4.17,0,20.83,0,0,0,4.17,0,8.33,8.33,0,0,0,0,25,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,4.17,0,4.17,0,0,16.67,4.17,4.17,4.17,4.17,0,0,16.67,12.5,12.5,4.17,4.17,4.17,4.17,0,0,0,4.17,0,0,0,0,0,0,0,12.5,8.33,0,0,0,0,0,4.17,0,0,0,0
12860462,,,,,They all deserve an ass kicking .Guy looks like he could be Mexican .It 's not a good video .Sound like they are speaking another language in the back ground .,,,30,70.69,84.14,1,84.54,30,20,90,53.33,16.67,10,0,0,0,3.33,6.67,6.67,10,10,10,3.33,0,3.33,20,0,6.67,0,0,6.67,3.33,3.33,0,0,0,0,20,0,3.33,0,6.67,10,0,0,3.33,0,3.33,3.33,13.33,6.67,6.67,0,3.33,3.33,0,0,0,3.33,0,0,0,3.33,0,0,10,0,10,0,10,3.33,0,3.33,0,0,0,0,3.33,3.33,0,0,0,0,16.67,13.33,0,0,0,0,0,0,0,3.33,0,0
30536136,,,,,Shannon county is famous for its wild horses and the whole area is timbered and rugged .You may want to consider the Harrison Arkansas area as well .The town of Houston is the County seat of Texas county I believe .Alley mills spring is an artists dream area .Southern Missouri is very pretty .Mountain view is a nice little town but remember the area is somewhat impoverished .http://www.eminencemo.com,,,72,81.63,50,58.07,92.4,72,20.83,73.61,40.28,4.17,2.78,1.39,0,1.39,0,0,1.39,9.72,6.94,11.11,4.17,5.56,0,16.67,2.78,1.39,0,0,2.78,4.17,4.17,0,0,0,0,1.39,0,0,0,0,11.11,4.17,0,1.39,4.17,0,1.39,1.39,1.39,0,0,0,0,0,0,0,1.39,0,0,1.39,0,0,1.39,13.89,1.39,16.67,0,15.28,1.39,0,2.78,0,0,0,0,2.78,0,1.39,0,1.39,0,12.5,11.11,0,0,0,0,0,0,0,0,0,1.39
12855815,,,,,Why do people still join Militias ?Why not just band with one or two of your close friends ?Militias are too risky with the Feds .,,,25,41.39,78.82,20.24,1,25,12,88,56,4,4,0,0,4,0,0,0,4,12,8,20,4,4,12,0,0,8,8,0,4,0,4,4,0,0,16,0,4,0,0,16,0,8,0,4,0,8,0,0,0,0,0,0,0,0,0,12,8,0,0,0,4,0,12,0,8,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,8,0,0,0,0,0,0
14108431,,,,,"Looking for klan , skins in my area ca n't seem to find any around ... just want to hangout get to know new people .... if your out there let me know ......",,,30,89.57,63.05,98.01,25.77,10,6.67,86.67,46.67,10,10,6.67,0,3.33,0,0,0,0,23.33,3.33,10,3.33,0,26.67,3.33,0,0,0,3.33,0,0,0,0,0,0,10,0,0,0,0,23.33,13.33,0,6.67,10,0,3.33,3.33,3.33,0,0,0,0,0,0,0,6.67,3.33,0,0,3.33,0,0,20,0,16.67,0,13.33,3.33,0,3.33,0,0,0,0,0,0,0,0,0,0,50,43.33,3.33,0,0,0,0,0,0,3.33,0,0
31579023,,,,,"Dont even have to include a face .I just want to see all the styles of clothes , how they wear them , etc .No, the picture thread took care of that !",,,30,62.04,36.95,1,84.54,30,10,90,56.67,13.33,10,3.33,0,0,0,6.67,3.33,10,13.33,6.67,10,3.33,6.67,23.33,0,0,3.33,0,3.33,3.33,3.33,0,0,0,0,6.67,0,0,0,0,10,0,3.33,3.33,0,3.33,0,6.67,6.67,0,0,10,10,0,0,0,3.33,0,0,0,3.33,0,3.33,23.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6.67,10,0,0,0,3.33,0,0,0,0,0
14668651,,,,,Did daay getz dat Junglef feeeaaver and rr apes da slabve girls ?What have you got to say for yourselves ?What the Hell did Sweden ever do to anyone to deserve this kind of treatment ?What the Hell is wrong with you people ?Anti-White S.O.B. ` s ?Huh ?https://www.stormfront.org/forum/t1020784/ https : //www.stormfront.org/forum/t102 ... ghlight = sweden https : //www.stormfront.org/forum/t102 ... ghlight = sweden https : //www.stormfront.org/forum/t101 ... ghlight = sweden https : //www.stormfront.org/forum/t101 ... ghlight = sweden https : //www.stormfront.org/forum/t100 ... ghlight = sweden https : //www.stormfront.org/forum/t100 ... ghlight = sweden https : //www.stormfront.org/forum/t100 ... ghlight = sweden God save them .....Dids dey colononialize da new erffs ?Did day kill dem injuns ?,,,126,82.37,76.25,1,3.31,14,18.25,43.65,19.05,7.14,3.17,0,0,2.38,0,0.79,3.97,1.59,3.97,4.76,0.79,0.79,0,7.14,2.38,0,2.38,0,0,3.97,0.79,3.17,0,2.38,0,6.35,0,0,0.79,0,2.38,0,0,0,1.59,0.79,0,1.59,0.79,0.79,0,0.79,0,0.79,0,0,2.38,0,0,0.79,0.79,0.79,3.17,3.97,0,2.38,0,0,2.38,6.35,0,0,0,2.38,0.79,7.94,1.59,5.56,0,0.79,0.79,80.16,35.71,0,5.56,0,6.35,0,0.79,0,0,0,31.75
14655478,,,,,A wee child can learn to rhyme in school and blacks pride themselves on this skill ?Rap is an acronym for Retards Attempting Poetry .Seriously it is .Wow ... we are all in AWE !,,,33,80.14,81.84,6.95,80.64,16.5,15.15,81.82,51.52,12.12,6.06,0,3.03,0,0,3.03,6.06,6.06,15.15,12.12,3.03,3.03,0,12.12,0,0,0,0,3.03,9.09,6.06,3.03,0,0,0,9.09,0,0,0,0,6.06,3.03,0,0,0,3.03,0,3.03,0,3.03,0,0,0,0,0,0,12.12,3.03,6.06,3.03,0,0,0,15.15,0,9.09,0,9.09,0,9.09,6.06,0,0,0,0,3.03,3.03,0,0,0,0,21.21,15.15,0,0,0,3.03,3.03,0,0,0,0,0
13618389,,,,,"Here you could see the rest of the adverts of this campaign http://www.jetlageando.com/archives/scpf-es-albino.jpghttp://www.jetlageando.com/archives/...-jardinero.jpghttp://www.jetlageando.com/archives/scpf-es-gemelas.jpg they are supossed to be fun but the one with the black man has another purpose .They said that they chose that name because they are proud of the crossbreeding http://www.scpf.com/The agency that designed that advert is calle ' milmilk `` milk = leche in Spanish , and '' milleches `` is how the street dogs that are a mixed of different races are called in spanish .",,,104,77.06,77.92,1,62.24,104,22.12,59.62,40.38,11.54,4.81,0,0,0.96,0,3.85,6.73,7.69,7.69,8.65,1.92,3.85,0,11.54,2.88,0.96,0.96,0.96,0.96,1.92,1.92,0,0,0,0,8.65,0,0,0,0.96,5.77,0,2.88,0.96,0,0,1.92,2.88,1.92,0.96,0,0.96,0,0,0,0.96,2.88,0,1.92,0.96,0,0,1.92,8.65,0,3.85,0,3.85,0,0.96,0.96,0,0,0,0,3.85,0,3.85,0,0,0,39.42,15.38,0.96,0,0,0,0,4.81,0,2.88,0,15.38
14099872,,,,,"I am a 23 year old Spanish guy .Hi all , I just would like to meet white conscious people from other countries , specially girls .White pride worldwide ! 3033",,,28,76.76,76.25,52.86,99,14,21.43,82.14,32.14,10.71,7.14,7.14,0,0,0,0,3.57,3.57,7.14,7.14,3.57,0,0,10.71,7.14,0,0,7.14,3.57,7.14,7.14,0,0,0,0,17.86,0,3.57,3.57,3.57,14.29,3.57,0,3.57,0,3.57,3.57,7.14,7.14,0,0,0,0,0,0,0,10.71,7.14,3.57,0,0,0,0,7.14,0,10.71,0,3.57,7.14,0,0,0,0,0,0,0,0,0,0,0,0,17.86,7.14,7.14,0,0,0,3.57,0,0,0,0,0
14061433,,,,,You mean Warsaw Uprising Museum .You can feel there like in 1944 .I was there and I must say it 's great museum .,,,23,9.72,90.38,27.39,93.61,23,4.35,82.61,56.52,21.74,17.39,8.7,0,8.7,0,0,4.35,0,8.7,13.04,8.7,4.35,0,21.74,8.7,4.35,0,4.35,0,4.35,4.35,0,0,0,0,13.04,0,0,0,0,13.04,8.7,0,4.35,0,4.35,0,8.7,0,4.35,4.35,0,0,0,0,0,4.35,0,0,0,4.35,0,4.35,17.39,0,4.35,0,4.35,0,0,8.7,0,0,0,0,0,0,0,0,0,0,17.39,13.04,0,0,0,0,0,0,0,4.35,0,0
31741994,,,,,I only wore it once to school and they told me either never wear again or be expeled I chose to never * ahem * show them again .,,,26,1,6.21,99,25.77,26,3.85,92.31,61.54,23.08,19.23,11.54,0,0,0,7.69,3.85,0,7.69,3.85,19.23,7.69,7.69,19.23,3.85,3.85,0,3.85,3.85,0,0,0,0,0,0,11.54,0,0,0,0,15.38,0,0,0,3.85,7.69,7.69,3.85,3.85,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,7.69,7.69,0,19.23,0,0,19.23,3.85,0,0,0,0,0,0,0,0,0,0,0,11.54,3.85,0,0,0,0,0,0,0,0,0,7.69
13854061,,,,,His the little John of Ireland.Part of the system as the rest.When it comes down to it these types are more our enemy then the rest .,,,28,89.26,92.33,13.15,1,28,3.57,78.57,60.71,17.86,7.14,0,3.57,0,3.57,0,10.71,14.29,17.86,3.57,3.57,10.71,0,7.14,7.14,7.14,3.57,0,7.14,3.57,0,3.57,0,3.57,0,10.71,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,3.57,0,3.57,0,0,0,7.14,3.57,17.86,3.57,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,10.71,10.71,0,0,0,0,0,0,0,0,0,0
30631655,,,,,"That negro 's place is in Africa , and the teacher did n't send him there .``Whiteteacher puts Negro in his place ! ''No , unfortunately he did n't .",,,26,33.48,87.57,5.76,1,13,11.54,73.08,50,15.38,11.54,0,0,0,11.54,0,3.85,3.85,7.69,11.54,3.85,3.85,3.85,19.23,0,0,0,0,0,3.85,0,3.85,0,0,0,15.38,0,0,0,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,3.85,0,0,7.69,11.54,0,23.08,7.69,15.38,0,3.85,0,0,0,0,0,0,0,0,0,0,0,46.15,7.69,7.69,0,0,0,3.85,0,0,19.23,0,7.69
14410498,,,,,"Unfortunatly I am going to miss the 21 of march , but on the 23 me and about 10 other white nationalists are going to put several thousand copies of the white nationalist newspaper nationell idag in mailboxes .",,,37,97.01,13.98,84.25,2.3,37,21.62,70.27,45.95,8.11,5.41,5.41,0,0,0,0,2.7,8.11,18.92,5.41,2.7,5.41,0,16.22,5.41,0,0,10.81,2.7,2.7,0,2.7,0,0,2.7,0,0,0,0,0,5.41,0,0,0,0,0,5.41,5.41,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11,5.41,16.22,8.11,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,2.7,2.7,0,0,0,0,0,0,0,0,0
14674790,,,,,Isn't wonderful to both be living in a free nation with a First Amendment where you can have your dictionary definition that works for you and I can have my dictionary definition that works for me ?Its a `` win-win '' situation .,,,41,40.29,59.64,83.44,99,41,17.07,90.24,60.98,21.95,14.63,7.32,0,7.32,0,0,7.32,7.32,12.2,14.63,2.44,2.44,2.44,17.07,4.88,0,2.44,2.44,2.44,9.76,9.76,0,0,0,0,7.32,0,0,0,0,7.32,4.88,0,0,0,0,2.44,0,0,0,0,2.44,0,2.44,0,0,12.2,0,12.2,4.88,4.88,0,0,19.51,0,12.2,0,9.76,2.44,4.88,0,0,2.44,0,0,0,0,0,0,0,0,19.51,2.44,0,0,0,2.44,0,2.44,0,7.32,0,4.88
13844296,,,,,"Nothing like the good old days with the size ten in a cell to have a vicious criminal begging a Garda to stop so he could confess , eh !",,,28,99,63.97,4.35,25.77,28,17.86,89.29,53.57,3.57,3.57,0,0,0,3.57,0,0,17.86,17.86,7.14,3.57,3.57,3.57,10.71,3.57,3.57,0,3.57,0,7.14,3.57,3.57,0,3.57,0,7.14,0,0,0,3.57,10.71,3.57,0,3.57,0,3.57,0,0,0,0,0,0,0,0,0,0,14.29,0,0,7.14,3.57,3.57,0,3.57,0,14.29,0,3.57,10.71,0,0,0,3.57,3.57,0,3.57,0,3.57,0,0,0,7.14,0,3.57,0,0,0,3.57,0,0,0,0,0
14106754,,,,,"Hey, I live in Illinois not too far from you. i 'm always trying to find new friends and people to hang out with , some email me sometime",,,28,89.26,63.97,99,25.77,14,10.71,92.86,46.43,14.29,14.29,10.71,0,3.57,0,0,0,0,21.43,0,3.57,3.57,3.57,14.29,7.14,0,0,0,3.57,0,0,0,0,0,0,17.86,0,3.57,0,0,21.43,3.57,0,0,10.71,3.57,3.57,0,0,0,0,3.57,0,3.57,0,0,7.14,3.57,3.57,0,0,0,0,10.71,3.57,25,3.57,10.71,10.71,0,0,0,0,0,0,3.57,0,0,0,0,0,14.29,3.57,7.14,0,0,0,0,0,0,3.57,0,0
13286209,,,,,"Unfortunately I have n't kept up with this maddening story , but have hate crime charges been filed against these black apes ?I mean they intentionally chose this house knowing there were white people living there .",,,35,29.3,38.74,43.37,1,35,17.14,82.86,45.71,17.14,8.57,5.71,0,0,0,2.86,8.57,0,8.57,11.43,5.71,2.86,0,25.71,5.71,0,0,0,0,8.57,0,8.57,0,5.71,0,8.57,0,0,0,0,14.29,5.71,2.86,0,0,0,5.71,5.71,5.71,0,0,2.86,0,2.86,0,0,2.86,0,0,2.86,0,0,8.57,11.43,0,2.86,0,2.86,0,0,0,2.86,0,0,0,0,0,0,0,0,0,11.43,2.86,2.86,0,0,2.86,0,0,0,2.86,0,0
13463371,,,,,"This is because much of the disenfranchisement is by way of destroying White cultural identity and pride .It is very hard for average Whites to see their own disenfranchisement , let alone realize that it is planned .So contributing and participating in any way to opportunities to instill pride in White ethnic heritage and even White American ethnic heritage will go a long way in helping them recognize what is being taken away .",,,72,69.3,75.64,17.01,77,72,25,83.33,48.61,9.72,2.78,0,0,0,0,2.78,6.94,2.78,15.28,11.11,4.17,6.94,0,16.67,8.33,0,1.39,0,4.17,8.33,5.56,2.78,0,1.39,1.39,6.94,0,0,0,0,5.56,2.78,1.39,0,1.39,0,0,6.94,5.56,0,1.39,0,0,0,0,0,8.33,0,5.56,1.39,2.78,0,1.39,11.11,1.39,12.5,1.39,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,4.17,1.39,0,0,0,0,0,0,0,0,0
30526559,,,,,"http://apod.nasa.gov/apod/astropix.htmlAn emission nebula cataloged as Sharpless 249 fills the field at the upper left .At that distance , this narrowband composite image would be about 300 light-years across .The scene is anchored right and left by two bright stars , Mu and Eta Geminorum , at the foot of the celestial twin while the Jellyfish Nebula is the brighter arcing ridge of emission with dangling tentacles below and right of center .Light from the explosion first reached planet Earth over 30,000 years ago .In fact , the cosmic jellyfish is part of bubble-shaped supernova remnant IC 443 , the expanding debris cloud from a massive star that exploded .Like its cousin in astrophysical waters the Crab Nebula supernova remnant , the Jellyfish Nebula is known to harbor a neutron star , the remnant of the collapsed stellar core .Sharpless 249 and the Jellyfish Nebula Image Credit & Copyright : César Blanco González Explanation : Normally faint and elusive , the Jellyfish Nebula is caught in this alluring telescopic mosaic .The Jellyfish Nebula is about 5,000 light-years away .",,,178,99,52.25,21.63,46.47,178,23.6,56.74,34.83,2.81,0,0,0,0,0,0,2.81,10.67,13.48,4.49,1.12,3.93,0,6.74,2.25,1.69,0,5.62,0.56,1.12,1.12,0,0,0,0,0.56,0.56,0,0,0,2.81,1.12,0,1.12,0,0.56,0,5.06,3.93,0,1.12,1.12,0.56,0.56,0,0,3.37,0.56,0.56,2.25,0,0,2.81,3.93,0,16.29,0.56,12.36,3.37,1.12,0,0,0.56,0,0,0.56,0,0.56,0,0,0,16.85,6.18,5.62,1.12,0,0,0,1.69,0,0,0,2.25
13420354,,,,,And is it really too much to ask of you people to shut up about Christianity and Paganism and stick to the subject at hand ???,,,25,88.69,88.48,20.24,25.77,25,12,92,64,8,4,0,0,4,0,0,4,4,28,4,12,12,0,12,4,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,4,4,0,0,4,4,4,0,0,0,4,0,0,4,0,0,0,8,0,12,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0
12856846,,,,,"well, the liberals would go ape crazy .And there 's no need for a video game , just pack concealed carry and walk around any major US city after dark .",,,29,69.54,75.49,11.5,25.77,29,6.9,79.31,44.83,3.45,3.45,0,3.45,0,0,0,0,6.9,10.34,3.45,13.79,6.9,3.45,17.24,6.9,3.45,0,0,3.45,6.9,3.45,3.45,0,0,0,6.9,0,0,0,0,10.34,0,0,6.9,3.45,0,0,6.9,6.9,0,0,0,0,0,0,0,6.9,6.9,0,0,0,0,0,13.79,0,20.69,10.34,6.9,3.45,0,6.9,0,0,0,0,3.45,0,0,0,3.45,0,17.24,6.9,6.9,0,0,0,0,0,0,3.45,0,0
13454399,,,,,No wonder Black dudes go for White chicks - they only have to punch them a few times to knock them out !With Black girls it takes a baseball bat - who carries a mu-ff' in baseball bat on a date ??,,,40,97.87,95.99,43.37,25.77,40,7.5,85,47.5,12.5,7.5,0,0,0,0,7.5,5,10,17.5,2.5,2.5,0,2.5,12.5,5,0,2.5,0,2.5,0,0,0,0,0,0,20,0,5,5,0,2.5,2.5,0,0,2.5,0,0,7.5,7.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,12.5,0,17.5,5,7.5,5,0,5,0,0,0,0,2.5,0,0,0,0,0,17.5,0,0,0,0,5,2.5,7.5,0,2.5,0,0
30709858,,,,,Took an east Asian art course in college myself .You forgot to mention how Chinese/Japanese/Korean art hardly changed in two thousand years until the late 19'th century .I agree .,,,32,89.84,62.28,95.6,81.93,32,21.88,81.25,34.38,9.38,9.38,6.25,0,3.12,0,0,0,6.25,12.5,0,6.25,6.25,0,9.38,3.12,0,3.12,9.38,0,3.12,3.12,0,0,0,0,6.25,0,0,0,0,9.38,0,6.25,0,3.12,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,3.12,0,9.38,0,0,25,3.12,9.38,12.5,6.25,6.25,0,0,0,0,3.12,0,0,3.12,0,0,18.75,9.38,0,0,0,0,0,0,0,3.12,0,6.25
14296279,,,,,And anyone who reads it is asked to bump it into view ( by simply commenting ) for the many others who need know .Thank you for this update .,,,27,56.91,98.62,4.97,88.52,27,3.7,92.59,62.96,29.63,3.7,0,0,3.7,0,0,25.93,3.7,18.52,3.7,3.7,3.7,0,18.52,0,0,7.41,0,3.7,3.7,3.7,0,0,0,0,22.22,0,0,0,0,14.81,3.7,0,3.7,3.7,0,3.7,3.7,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,14.81,0,7.41,0,3.7,3.7,0,0,0,0,0,0,0,0,0,0,0,0,14.81,7.41,0,0,0,0,0,0,0,0,7.41,0
